Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1997:Q3,Next40,13646803,5571082,4422095,1148987,8075721,1298831,158189,209489,146086,63403,38759,16975,21784,1094688,331858,263612,994312,2805150,720010,160823,2287311,2277980,1738342,463267,8387,67984,9331,11359492,40536504,
1997:Q3,Bottom50,2987574,2046770,1422204,624566,940804,191063,8039,19840,16423,3418,3544,1082,2462,110716,78615,14232,174927,184764,83225,71838,1878907,1876628,1101722,704904,4197,65805,2279,1108667,50680017,
1997:Q4,TopPt1,3924238,431721,257407,174314,3492517,179965,81868,511939,330788,181151,278163,269937,8227,1433576,22946,2492,39686,24780,908998,8104,62213,61731,22887,3588,3172,32084,483,3862025,105564,
1997:Q4,RemainingTop1,5564302,926536,741507,185029,4637766,330381,178054,415424,305557,109867,123952,99742,24210,1876784,57867,33272,287224,228709,1084349,21750,211888,210122,155706,13180,2210,39025,1766,5352414,909716,
1997:Q4,Next9,12675660,3052809,2489641,563168,9622851,958573,296046,448211,302011,146200,119988,84490,35497,2352070,181579,351639,693203,2795463,1347813,78267,945007,939932,711743,129271,4556,94361,5075,11730653,9152131,
1997:Q4,Next40,13811566,5609264,4443200,1166064,8202302,1324243,168091,207248,151097,56152,41979,20183,21796,1131586,337681,262462,1007698,2821529,738923,160862,2333383,2323979,1764105,478021,14106,67747,9404,11478183,40657334,
1997:Q4,Bottom50,2980738,2027921,1398535,629386,952818,195370,8115,19238,16059,3179,3340,942,2398,114109,78746,14220,174538,188138,85612,71390,1882577,1880317,1091918,720104,6348,61947,2260,1098161,50829602,
1998:Q1,TopPt1,4172072,431963,262543,169420,3740109,176056,93120,505778,310720,195058,268594,261659,6935,1680419,22188,2004,43809,26017,913989,8135,65866,65426,24174,3240,3589,34423,440,4106206,106187,
1998:Q1,RemainingTop1,5864258,946032,759863,186168,4918227,326279,190327,414030,294702,119328,132059,107622,24437,2107199,56685,35443,311561,240169,1082662,21812,214237,212580,157058,12603,2253,40666,1656,5650022,912327,
1998:Q1,Next9,13304499,3111992,2539069,572923,10192508,949960,317940,446863,292611,154252,139943,105562,34381,2697539,188312,377427,757990,2860855,1376429,79250,973030,967867,734278,127494,5124,100971,5163,12331470,9178093,
