Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2022:Q1,GenX,43195989,14723858,12634015,2089843,28472131,3880051,458019,372560,372560,0,159259,140554,18705,8580797,603673,1091207,4017382,4950876,4011839,346467,6643308,6630459,4826306,1601072,102001,101079,12849,36552680,35081340
2022:Q1,Millennial,17514509,8161857,6650412,1511444,9352652,1982801,95474,205184,205184,0,65551,51988,13562,2557005,201921,223815,1079182,1101324,1609555,230841,5555457,5550893,3627147,1800903,64188,58655,4564,11959052,40312623
2022:Q2,Silent,20545168,5901190,5034366,866824,14643978,2244672,542532,577871,577871,0,173192,157553,15638,6595933,245587,39797,281591,1313784,2380637,248384,635457,631063,460100,117848,19461,33653,4395,19909710,13081388
2022:Q2,BabyBoom,75950010,21622823,18750073,2872750,54327188,6691004,1572059,1610759,1610759,0,866075,835684,30390,18602847,912615,1051233,4353379,9844661,8193986,628569,4950672,4932810,3157556,1042467,135770,597017,17863,70999338,42128986
2022:Q2,GenX,41917269,15454920,13331872,2123048,26462349,3866916,471414,409631,409631,0,152855,134843,18013,6911173,591043,1093605,3512909,5031751,4069058,351993,6785386,6772972,4916200,1645568,111293,99911,12414,35131883,35149850
2022:Q2,Millennial,17785202,8694523,7143147,1551376,9090679,1988573,98896,223359,223359,0,61476,47701,13775,2126354,212337,233666,963150,1182032,1762822,238014,5752199,5747480,3771858,1853244,69598,52780,4719,12033003,40709637
2022:Q3,Silent,20191972,5906353,5026376,879977,14285619,2203256,554776,669148,669148,0,161790,147176,14614,6267204,243156,45031,253891,1259164,2378210,249992,620398,616043,454908,112983,20059,28093,4355,19571574,12931003
2022:Q3,BabyBoom,74003356,20972042,18045999,2926042,53031314,6586252,1620482,1956408,1956408,0,828746,799179,29567,17732958,910521,936696,4177520,9442467,8200385,638881,4901464,4883599,3095441,1053260,134027,600871,17865,69101892,42078796
2022:Q3,GenX,40997037,15083009,12920750,2162259,25914028,3828190,490568,483697,483697,0,146225,128812,17413,6442537,588458,1107710,3350672,5124215,3993433,358324,6879906,6867552,4968292,1684967,116708,97585,12354,34117131,35223169
2022:Q3,Millennial,17687073,8531545,6928332,1603213,9155527,1974588,102966,250971,250971,0,55051,41046,14006,2088275,219256,244799,938761,1249572,1785658,245630,6024934,6020105,3991549,1903077,72216,53263,4829,11662139,41073488
